"word","freq"
"available","available",2
"aware","aware",2
"backfire","backfire",2
"bad","bad",2
"balance","balance",2
"barackobamas","barackobamas",2
"bath","bath",2
"begins","begins",2
"berenbaum","berenbaum",2
"bethegen","bethegen",2
"bil","bil",2
"biologys","biologys",2
"bite","bite",2
"biting","biting",2
"blame","blame",2
"blockeddrray","blockeddrray",2
"boosted","boosted",2
"brought","brought",2
"bubblews","bubblews",2
"calls","calls",2
"cancer","cancer",2
"cant","cant",2
"capacity","capacity",2
"capital","capital",2
"case","case",2
"casos","casos",2
"cause","cause",2
"caution","caution",2
"cdcmmwr","cdcmmwr",2
"chest","chest",2
"childmortality","childmortality",2
"chills","chills",2
"china","china",2
"cidrap","cidrap",2
"coma","coma",2
"come","come",2
"complement","complement",2
"con","con",2
"congrats","congrats",2
"contributing","contributing",2
"costs","costs",2
"count","count",2
"currently","currently",2
"dalbergs","dalbergs",2
"dalbergtweet","dalbergtweet",2
"ddts","ddts",2
"decadesmostly","decadesmostly",2
"december","december",2
"dengue","dengue",2
"depends","depends",2
"diana","diana",2
"diariopanorama","diariopanorama",2
"die","die",2
"dinámica","dinámica",2
"distinta","distinta",2
"doctoral","doctoral",2
"domesticviolence","domesticviolence",2
"done","done",2
"dont","dont",2
"ecosaludetvcol","ecosaludetvcol",2
"effectiveness","effectiveness",2
"egg","egg",2
"elaine","elaine",2
"eliminate","eliminate",2
"epidemic","epidemic",2
"epilepsyawareness","epilepsyawareness",2
"eradicate","eradicate",2
"eradicated","eradicated",2
"espacial","espacial",2
"fact","fact",2
"fever","fever",2
"fevers","fevers",2
"film","film",2
"flowers","flowers",2
"flulike","flulike",2
"forward","forward",2
"fronteras","fronteras",2
"fully","fully",2
"funding","funding",2
"fundraisi","fundraisi",2
"gampt","gampt",2
"greatest","greatest",2
"guidance","guidance",2
"guided","guided",2
"gyae","gyae",2
"haiti","haiti",2
"halving","halving",2
"having","having",2
"helps","helps",2
"hereiamcampaign","hereiamcampaign",2
"highly","highly",2
"historic","historic",2
"hivaids","hivaids",2
"honduras","honduras",2
"hoot","hoot",2
"hormone","hormone",2
"house","house",2
"household","household",2
"httpstcouafk2y9iu1","httpstcouafk2y9iu1",2
"httptco43uok6zpsf","httptco43uok6zpsf",2
"httptco47plbgqosa","httptco47plbgqosa",2
"httptco5skiazw6cf","httptco5skiazw6cf",2
"httptco6mwxs2opk6","httptco6mwxs2opk6",2
"httptco7vonubywvz","httptco7vonubywvz",2
"httptcobd0xtpobmi","httptcobd0xtpobmi",2
"httptcobfqvo6nbyc","httptcobfqvo6nbyc",2
"httptcod5ypnq74nx","httptcod5ypnq74nx",2
"httptcoeyaacylale","httptcoeyaacylale",2
"httptcoeynzwqcci5","httptcoeynzwqcci5",2
"httptcogky4002nw1","httptcogky4002nw1",2
"httptcoifkvw73ra7","httptcoifkvw73ra7",2
"httptcojqv3weset5","httptcojqv3weset5",2
"httptcojvoaiomjgk","httptcojvoaiomjgk",2
"httptcokfqxshkuqz","httptcokfqxshkuqz",2
"httptcol7wcyjtcmm","httptcol7wcyjtcmm",2
"httptcolkpes1z4wq","httptcolkpes1z4wq",2
"httptcomlzqpclfg7","httptcomlzqpclfg7",2
"httptcon9yzhzpi2w","httptcon9yzhzpi2w",2
"httptconzl2i8kimz","httptconzl2i8kimz",2
